request_id,timestamp,_id,date,day_name,hour,city,station_id,station_name,free_bikes,empty_slots
Toronto-SDd4OUrA,2024-07-25T05:54:17.281000Z,TiagoAve/WestviewBlvd--yBfJ4AL8,2024-07-25,Thursday,00:03,Toronto,eaabca685376f1b1229969e68c26a1b9,Tiago Ave / Westview Blvd,1,13
Toronto-NjiIltAe,2024-07-25T05:54:23.371000Z,PlaxtonDr/StClairAveE--8csuQ0vx,2024-07-25,Thursday,00:03,Toronto,086ae84908444d2c0d0faf35deb1704f,Plaxton Dr / St Clair Ave E,1,14
Toronto-7nmD3LHs,2024-07-25T05:54:23.381000Z,VictoriaParkAve/EdgeParkAve--M3nuItd1,2024-07-25,Thursday,00:03,Toronto,81449d406b64d7d94f71f69d5bac9ff2,Victoria Park Ave / Edge Park Ave,1,17
Toronto-0WI4Qbiz,2024-07-25T05:54:18.987000Z,GalbraithRd/King'sCollegeRd--BKEq4fDe,2024-07-25,Thursday,00:03,Toronto,8517a9c8716fe48386963ae0a6524f5a,Galbraith Rd / King's College Rd,0,16
Toronto-VybYzV0q,2024-07-25T05:54:20.176000Z,ExhibitionGOStation--XKgAv7OL,2024-07-25,Thursday,00:03,Toronto,778b6d674fa920334fdf2f007088aa3f,Exhibition GO Station,7,5
Toronto-AzGPV1u6,2024-07-25T05:54:23.392000Z,FinchSubwayStation--7djTccwr,2024-07-25,Thursday,00:03,Toronto,c27d6b38deaf954439fb6fb0f7542045,Finch Subway Station ,1,17
Toronto-l1mvNZXE,2024-07-25T05:54:23.397000Z,GlencairnSubwayStation--KBZH7Aew,2024-07-25,Thursday,00:03,Toronto,769a6cb25850b809d38c7a2620731b1e,Glencairn Subway Station,0,15
Toronto-Nqj9Qih0,2024-07-25T05:54:23.400000Z,GlenLongCommunityCentre--xEDAU4PL,2024-07-25,Thursday,00:03,Toronto,216ff915cee84c00ebe3636ee1bc40bc,Glen Long Community Centre,2,12
Toronto-PMz2KGmH,2024-07-25T05:54:23.404000Z,CaledoniaRd/LothertonPathway--3MzYD0rI,2024-07-25,Thursday,00:03,Toronto,f0da3c366706de4cbcc2bba104331023,Caledonia Rd / Lotherton Pathway,8,8
Toronto-QvAT2QFF,2024-07-25T05:54:23.409000Z,HarvieAve/RogersRd--GxzIsy1e,2024-07-25,Thursday,00:03,Toronto,f17b2cacee03b81324030881d439f7a9,Harvie Ave / Rogers Rd,1,17
Toronto-APxKFcf2,2024-07-25T05:54:23.414000Z,LingRd/MorningsideAve--Tq6y57Et,2024-07-25,Thursday,00:03,Toronto,843602f3de2dc3c06cfacd5bf0a1a0fe,Ling Rd / Morningside Ave,14,4
Toronto-LTa52ola,2024-07-25T05:54:23.281000Z,LakeShoreBlvdW/LegionRd--SCqkAxIC,2024-07-25,Thursday,00:03,Toronto,73a39d0e39f18c0201caac2def38140f,Lake Shore Blvd W / Legion Rd,15,0
Toronto-Z7VfakvF,2024-07-25T05:54:21.194000Z,LakeShoreBlvdW/SeventeenthSt--In2Oi8GK,2024-07-25,Thursday,00:03,Toronto,a6e98c52c1541c26efb19ef524a95247,Lake Shore Blvd W / Seventeenth St,6,4
Toronto-5VqrUMO7,2024-07-25T05:54:15.816000Z,MabellePark--E2knnunj,2024-07-25,Thursday,00:03,Toronto,a61c1c53028dc937958291979ad82de8,Mabelle Park,0,13
Toronto-xhSnshgW,2024-07-25T05:54:15.806000Z,IslingtonSubwayStation(AberfoyleCres)--lBUBxydf,2024-07-25,Thursday,00:03,Toronto,558270f5714fec81ad57e09729ffb761,Islington Subway Station (Aberfoyle Cres),1,14
