request_id,timestamp,_id,date,day_name,hour,city,station_id,station_name,free_bikes,empty_slots
Montreal-FaJbp9QZ,2024-07-25T06:03:07.518000Z,deMentana/duMont-Royal--QeTisCyC,2024-07-25,Thursday,00:03,Montreal,79648258923bbd7c3ead41c36ebad5fa,de Mentana / du Mont-Royal,19,4
Montreal-t8oGGteT,2024-07-25T06:03:08.065000Z,Plessis/René-Lévesque--cVV4umaS,2024-07-25,Thursday,00:03,Montreal,194e4f5ad2d202fad26fed69af6db071,Plessis / René-Lévesque,15,0
Montreal-5E4Gx7QV,2024-07-25T06:03:10.803000Z,St-André/Ontario--PcAQM68A,2024-07-25,Thursday,00:03,Montreal,6251ff1e68672d14ccd94dd4d5d86680,St-André / Ontario,6,13
Montreal-FVYJRQgI,2024-07-25T06:03:08.924000Z,Drolet/Marie-Anne--vmB3zR6M,2024-07-25,Thursday,00:03,Montreal,b299bc3f5212ba3e717cf5916ce62b37,Drolet / Marie-Anne,12,5
Montreal-RT2jhWHH,2024-07-25T06:03:11.923000Z,Cartier/Masson--A2LSZPlU,2024-07-25,Thursday,00:03,Montreal,e808e34ff5776ce71318665babc70571,Cartier / Masson,19,0
Montreal-mzeFgIrv,2024-07-25T06:03:08.052000Z,René-Lévesque/Papineau--AcO2IJQg,2024-07-25,Thursday,00:03,Montreal,0d4eff17975078517d6779b678d99fa3,René-Lévesque / Papineau,6,33
Montreal-kVncpmOe,2024-07-25T06:03:07.301000Z,Montcalm/deMaisonneuve--8hGI6byi,2024-07-25,Thursday,00:03,Montreal,087ebaee08c22fcceddf4c659711fc06,Montcalm / de Maisonneuve,12,3
Montreal-OYigUpzy,2024-07-25T06:03:10.730000Z,Sanguinet/deMaisonneuve--hiLjnIJL,2024-07-25,Thursday,00:03,Montreal,1423a9915aee85faaf67acb0b093723d,Sanguinet / de Maisonneuve,6,25
Montreal-1T65wGRe,2024-07-25T05:54:32.976000Z,SquareSt-Louis(duSquareSt-Louis/Laval)--WaTDM2xt,2024-07-25,Thursday,00:03,Montreal,4cfa37d30555ab9641249939855931ed,Square St-Louis (du Square St-Louis / Laval),24,9
Montreal-w2FSSPsx,2024-07-25T05:54:30.890000Z,Ste-Catherine/Sanguinet--UFI2Jfci,2024-07-25,Thursday,00:03,Montreal,a275d1e1d0b9582f2b705053e47f7c98,Ste-Catherine / Sanguinet,5,33
Montreal-KjFjdtfY,2024-07-25T06:03:10.514000Z,McGill/Wellington--0ihLAwBT,2024-07-25,Thursday,00:03,Montreal,021186cc14acfe5a05a3d4b5cc35ff8a,McGill / Wellington,6,25
Montreal-z37v7OFc,2024-07-25T05:54:34.723000Z,Fairmount/Hutchison--29u9Cl1V,2024-07-25,Thursday,00:03,Montreal,2b25484ef818ccbdc7fcffa35d738af1,Fairmount / Hutchison,9,14
Montreal-rNQtDDEN,2024-07-25T06:03:11.349000Z,Milton/St-Laurent--6WNi180o,2024-07-25,Thursday,00:03,Montreal,ac6fa8afc91dfeaaf3749f5894324039,Milton / St-Laurent,14,4
Montreal-5fDNMoOl,2024-07-25T05:54:30.772000Z,Aylmer/Prince-Arthur--4IzZXY2g,2024-07-25,Thursday,00:03,Montreal,f6ab2306a49dab9b89f6c9b84ba9db2a,Aylmer / Prince-Arthur,13,10
Montreal-z7Bqcdsz,2024-07-25T06:03:10.850000Z,ThéâtreduVieux-Terrebonne(St-Pierre/desBraves)--EAqTD4kB,2024-07-25,Thursday,00:03,Montreal,be7eb9139288d63ecd637cbd4d52f05f,Théâtre du Vieux-Terrebonne (St-Pierre / des Braves),10,9
Montreal-nMekbsrn,2024-07-25T06:03:09.148000Z,deMonaco/duSouvenir--aFz9gnqU,2024-07-25,Thursday,00:03,Montreal,dbab0580c518f74b2ada9ef05f950048,de Monaco / du Souvenir,12,7
Montreal-0rdU8hvN,2024-07-25T06:03:09.112000Z,Prince-Arthur/St-Urbain--IAXOnvc5,2024-07-25,Thursday,00:03,Montreal,fe77f880822f92a0a42808bd376e76b9,Prince-Arthur / St-Urbain,27,8
Montreal-3avtUU15,2024-07-25T05:54:31.173000Z,Lincoln/St-Marc--JetZQXKQ,2024-07-25,Thursday,00:03,Montreal,510b38e820d976949a741fdd95dcd284,Lincoln / St-Marc,17,0
Montreal-ySEp3aQo,2024-07-25T06:03:07.973000Z,duParc/François-Foucault--3YAGas25,2024-07-25,Thursday,00:03,Montreal,adcc113a6107f597a756571d11b252fc,du Parc / François-Foucault,17,7
Montreal-C7AkiTLB,2024-07-25T06:03:11.102000Z,deBordeaux/St-Joseph--dfGzQRa4,2024-07-25,Thursday,00:03,Montreal,49c9b3c0647532585351cd5b45c8f5d0,de Bordeaux / St-Joseph,17,2
Montreal-i9FNFwaw,2024-07-25T06:03:08.290000Z,ParcMaisonneuve(Viau/Sherbrooke)--6G5JQiv0,2024-07-25,Thursday,00:03,Montreal,66bb98a5d35f74c7cc6f5951b7c78e4f,Parc Maisonneuve (Viau / Sherbrooke),4,16
Montreal-4nAygryQ,2024-07-25T05:54:34.650000Z,St-Roch/Querbes--hzdELWgn,2024-07-25,Thursday,00:03,Montreal,5888dbd4c0c3b570a60df325c0b116f7,St-Roch / Querbes,9,9
Montreal-pgr8sJVr,2024-07-25T06:03:07.215000Z,St-Sylvestre/St-Charles--puziCXlS,2024-07-25,Thursday,00:03,Montreal,94061cd13934f9203606938cc6de14ad,St-Sylvestre / St-Charles,18,5
Montreal-hJdEsTvC,2024-07-25T06:03:08.609000Z,Édouard-Montpetit/deStirling--hu2R3BQq,2024-07-25,Thursday,00:03,Montreal,1a6cce3eab1bb6fe36200756ff663389,Édouard-Montpetit / de Stirling,8,19
Montreal-isufDSEO,2024-07-25T05:54:30.916000Z,Guy/Notre-Dame--UbtNf81a,2024-07-25,Thursday,00:03,Montreal,d0763017557c70a8115ad0ccc7f8b7b4,Guy / Notre-Dame,5,22
Montreal-qhgq4RTF,2024-07-25T05:54:34.964000Z,deKent/Hudson--6m2vMG0B,2024-07-25,Thursday,00:03,Montreal,4e36c47fbe40dde66e2008c3ccb42fc4,de Kent / Hudson,19,7
Montreal-yGOintYt,2024-07-25T05:54:34.844000Z,Charles-Biddle/Atwater--1Pz1IYWH,2024-07-25,Thursday,00:03,Montreal,e7cf848f2c4a0ef5407cefb7b9099d52,Charles-Biddle / Atwater,2,16
Montreal-Jdl7xkv6,2024-07-25T05:54:34.445000Z,Villeneuve/duParc--NRad1dba,2024-07-25,Thursday,00:03,Montreal,efd0f237800e412805e3242c7d4a8702,Villeneuve / du Parc,13,1
Montreal-f0HCfWbE,2024-07-25T06:03:07.977000Z,Ann/Wellington--11AU9b3X,2024-07-25,Thursday,00:03,Montreal,5d34923536095ea13e134f9d89da258f,Ann / Wellington,7,8
Montreal-Pji2JT2E,2024-07-25T05:54:34.016000Z,d'Aragon/Springland--b1c3wOPJ,2024-07-25,Thursday,00:03,Montreal,b7ec3e53e512a19b78956911f5a94268,d'Aragon / Springland,5,14
Montreal-7HDBbcQ1,2024-07-25T05:54:31.201000Z,Eadie/Galt--WY6Ee0k5,2024-07-25,Thursday,00:03,Montreal,bfd327f113e8c0444550291f93ef8e59,Eadie / Galt,17,2
Montreal-HruiOiUw,2024-07-25T05:54:33.204000Z,MountainSights/Édouard-Montpetit--rvrxO9sa,2024-07-25,Thursday,00:03,Montreal,6a492b6e52d07b8efff179530ddb12a6,Mountain Sights / Édouard-Montpetit,3,16
Montreal-ccRZoSOW,2024-07-25T05:54:33.118000Z,Ste-Émilie/Sir-Georges-Etienne-Cartier--OiC56Wz7,2024-07-25,Thursday,00:03,Montreal,a3b2ff8cca496a88381a6d7427782945,Ste-Émilie / Sir-Georges-Etienne-Cartier,8,15
Montreal-yznFbYeV,2024-07-25T05:54:34.221000Z,Coffee/Elmhurst--wV0itaw9,2024-07-25,Thursday,00:03,Montreal,022aa88409f3c51f9b7ae91d23161db9,Coffee / Elmhurst,8,11
Montreal-po3gMUlO,2024-07-25T06:03:06.892000Z,deBordeaux/Masson--2Zn0fPNl,2024-07-25,Thursday,00:03,Montreal,a6bf77e4bebacc670f33d24738bcd9e3,de Bordeaux / Masson,9,10
Montreal-kkL9MxjT,2024-07-25T06:03:10.963000Z,ParcHector-Toe-Blake(duSussex/René-Lévesque)--9qksryIR,2024-07-25,Thursday,00:03,Montreal,5ad09b42649304cdf005bb37671e1ee1,Parc Hector-Toe-Blake (du Sussex / René-Lévesque),14,3
Montreal-iLqc7va8,2024-07-25T05:54:34.928000Z,Hamilton/Jolicoeur--jCXmKGaR,2024-07-25,Thursday,00:03,Montreal,01eb2ebf1d0478ffdc9ea49c43a4b7ae,Hamilton / Jolicoeur,10,3
Montreal-SUH19KNZ,2024-07-25T05:54:31.270000Z,Lincoln/duFort--Vqzr37op,2024-07-25,Thursday,00:03,Montreal,721d4295690082912ec62a1f820d096f,Lincoln / du Fort,18,1
Montreal-5Xeq9ju1,2024-07-25T05:54:31.384000Z,15eavenue/Dandurand--IJ9CqzeD,2024-07-25,Thursday,00:03,Montreal,ea4d52ca3fb9cacf1c912989b03d0944,15e avenue / Dandurand,19,4
Montreal-gsXDwxNM,2024-07-25T05:54:31.424000Z,Molson/Beaubien--c0fiAEW3,2024-07-25,Thursday,00:03,Montreal,4ba1659b4edb0baa99268a208f028b86,Molson / Beaubien,14,9
Montreal-eJPlWU3i,2024-07-25T06:03:08.700000Z,Montmorency/dubonPasteur--OHOfBNuH,2024-07-25,Thursday,00:03,Montreal,26a44bbfde1920376e2082a747a3420e,Montmorency / du bon Pasteur,12,12
Montreal-d9FdwTOg,2024-07-25T06:03:08.703000Z,Robin/15eRue--Gy7DhFbV,2024-07-25,Thursday,00:03,Montreal,e6ea709b44125dbf15595ae434193cec,Robin / 15e Rue,21,2
Montreal-XqjqUPtM,2024-07-25T05:54:33.145000Z,BibliothèqueetComplexeaquatiqueRosemont(8eavenue/Rosemont)--BqEYUmsG,2024-07-25,Thursday,00:03,Montreal,65449142f26853132d689c41a44ceae8,Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),11,5
Montreal-5VUc7Qjl,2024-07-25T06:03:11.124000Z,LaFontaine/Lyall--7I7rBqRt,2024-07-25,Thursday,00:03,Montreal,39d5940820ab0ed37b58ac3d361fbcde,La Fontaine / Lyall,11,8
Montreal-qb0sy1Db,2024-07-25T06:03:08.605000Z,MétroPréfontaine(Préfontaine/Hochelaga)--C2J9WQLS,2024-07-25,Thursday,00:03,Montreal,069414550bdba88e9db7e3120441a2c5,Métro Préfontaine (Préfontaine / Hochelaga),2,29
Montreal-BARu8nxF,2024-07-25T06:03:11.212000Z,LaFontaine/Cadillac--6NkRZUUu,2024-07-25,Thursday,00:03,Montreal,216a81385f33d5b062d7e92606d0f117,La Fontaine / Cadillac,10,8
Montreal-wYZdvziy,2024-07-25T05:54:31.432000Z,MétroViau(Pierre-de-Coubertin/Viau)--LHILREd4,2024-07-25,Thursday,00:03,Montreal,b3979ab42095be4a4e44978bb9f21b58,Métro Viau (Pierre-de-Coubertin / Viau),6,39
Montreal-UCVOhFgP,2024-07-25T06:03:11.890000Z,Pratt/Bates--6yfjrQyP,2024-07-25,Thursday,00:03,Montreal,7758064a8883d2200c4ef11ea582fc3a,Pratt / Bates,9,9
Montreal-Cml3sgLy,2024-07-25T05:54:32.458000Z,Roy/St-André--SwPRjVKA,2024-07-25,Thursday,00:03,Montreal,716fdaa5bf3096b22e6411f8a3b26ce7,Roy / St-André,23,0
Montreal-VlnZanPP,2024-07-25T05:54:34.973000Z,Laval/Rachel--ZLPoSonq,2024-07-25,Thursday,00:03,Montreal,19c727134141c178c70295a70f778317,Laval / Rachel,22,1
Montreal-itEXtjy4,2024-07-25T05:54:33.699000Z,MétroVilla-Maria(deMonkland/Décarie)--9lWVOLgd,2024-07-25,Thursday,00:03,Montreal,9f33776b7261015fee19f746343fd39e,Métro Villa-Maria (de Monkland / Décarie),15,7
Montreal-x44q1Kas,2024-07-25T05:54:32.466000Z,35eavenue/Beaubien--yVRC8NXS,2024-07-25,Thursday,00:03,Montreal,f3137d7a13f223d22a94a847fc537ab1,35e avenue/Beaubien,20,7
Montreal-j2Cn0YJo,2024-07-25T06:03:10.319000Z,16eavenue/Jean-Talon--Z5kb7had,2024-07-25,Thursday,00:03,Montreal,ca51f806f088e2d3fd280060ee25f224,16e avenue / Jean-Talon,12,7
